name	types	score	votes	watched	plan_to_watch	full_name	year	nations	languages	runtime	fivestars	tags	tags	imdb
肖申克的救赎	剧情/犯罪	9.6	1001543	1251176	109526	肖申克的救赎 The Shawshank Redemption	1994	美国	英语	142	82.7%,15.2%,1.9%,0.1%,0.1%	经典,励志,信念,自由,美国,人性,人生,剧情	经典,励志,信念,自由,美国,人性,人生,剧情	http://www.imdb.com/title/tt0111161
控方证人	剧情/悬疑/犯罪	9.6	108111	120948	83273	控方证人 Witness for the Prosecution	1957	美国	英语 / 德语	116	80.6%,17.5%,1.8%,0.1%,0.1%	悬疑,经典,美国,犯罪,推理,黑白,法律,剧情	悬疑,经典,美国,犯罪,推理,黑白,法律,剧情	http://www.imdb.com/title/tt0051201
霸王别姬	剧情/爱情/同性	9.5	727743	902088	93179	霸王别姬	1993	中国大陆 / 香港	汉语普通话	171	80.0%,17.2%,2.6%,0.2%,0.1%	经典,爱情,文艺,人性,同志,人生,剧情,文革	经典,爱情,文艺,人性,同志,人生,剧情,文革	http://www.imdb.com/title/tt0106332
美丽人生	剧情/喜剧/爱情/战争	9.5	468184	587160	156738	美丽人生 La vita è bella	1997	意大利	意大利语 / 德语 / 英语	116	77.9%,18.9%,2.8%,0.2%,0.1%	意大利,二战,经典,亲情,战争,温情,爱情,人性	意大利,二战,经典,亲情,战争,温情,爱情,人性	http://www.imdb.com/title/tt0118799
这个杀手不太冷	剧情/动作/犯罪	9.4	942492	1191203	78419	这个杀手不太冷 Léon	1994	法国	英语 / 意大利语 / 法语	110	73.8%,22.5%,3.4%,0.2%,0.1%	经典,爱情,温情,人性,剧情,动作,犯罪,1994	经典,爱情,温情,人性,剧情,动作,犯罪,1994	http://www.imdb.com/title/tt0110413
阿甘正传	剧情/爱情	9.4	801554	1048708	67866	阿甘正传 Forrest Gump	1994	美国	英语	142	74.2%,22.0%,3.4%,0.2%,0.1%	励志,经典,美国,人生,信念,成长,剧情,人性	励志,经典,美国,人生,信念,成长,剧情,人性	http://www.imdb.com/title/tt0109830
辛德勒的名单	剧情/历史/战争	9.4	426358	552389	141828	辛德勒的名单 Schindler's List	1993	美国	英语 / 希伯来语 / 德语 / 波兰语	195	75.0%,21.7%,3.1%,0.2%,0.1%	人性,二战,经典,斯皮尔伯格,战争,辛德勒的名单,美国,剧情	人性,二战,经典,斯皮尔伯格,战争,辛德勒的名单,美国,剧情	http://www.imdb.com/title/tt0108052
十二怒汉	剧情	9.4	188404	227945	114758	十二怒汉 12 Angry Men	1957	美国	英语	96	73.2%,22.4%,3.9%,0.3%,0.1%	经典,美国,人性,黑白,剧情,1957,法律,悬疑	经典,美国,人性,黑白,剧情,1957,法律,悬疑	http://www.imdb.com/title/tt0050083
泰坦尼克号 3D版	剧情/爱情/灾难	9.4	166416	206192	25455	泰坦尼克号 3D版 Titanic 3D	2012	美国	英语 / 意大利语 / 德语 / 俄语	194	75.8%,19.3%,4.3%,0.3%,0.3%	爱情,经典,美国,3D,灾难,感人,浪漫,2012	爱情,经典,美国,3D,灾难,感人,浪漫,2012	
十二怒汉	剧情/悬疑/犯罪	9.4	4584	5882	1792	十二怒汉 Studio One: Twelve Angry Men	1954	美国	英语	52	73.7%,22.3%,3.6%,0.3%,0.1%	人性,经典,法律,美国,剧情,悬疑,十二怒汉,犯罪	人性,经典,法律,美国,剧情,悬疑,十二怒汉,犯罪	http://www.imdb.com/title/tt0122737
控方证人	剧情/悬疑/犯罪	9.4	2762	3432	3951	控方证人 Witness for the Prosecution	1982	美国 / 英国	英语	97	73.2%,23.5%,2.9%,0.2%,0.2%	悬疑,推理,经典,法律,阿加莎·克里斯蒂,美国,美国电影,英国	悬疑,推理,经典,法律,阿加莎·克里斯蒂,美国,美国电影,英国	http://www.imdb.com/title/tt0084911
盗梦空间	剧情/科幻/悬疑/冒险	9.3	842143	1041401	106746	盗梦空间 Inception	2010	美国 / 英国	英语 / 日语 / 法语	148	68.4%,26.6%,4.6%,0.3%,0.1%	科幻,悬疑,美国,心理,剧情,经典,哲学,2010	科幻,悬疑,美国,心理,剧情,经典,哲学,2010	http://www.imdb.com/title/tt1375666
灿烂人生	剧情/爱情/家庭	9.3	23895	29527	96424	灿烂人生 La meglio gioventù	2003	意大利	意大利语	366	73.6%,20.8%,4.6%,0.7%,0.3%	意大利,意大利电影,人生,灿烂人生,成长,文艺,文艺片,剧情	意大利,意大利电影,人生,灿烂人生,成长,文艺,文艺片,剧情	http://www.imdb.com/title/tt0346336
背靠背，脸对脸	剧情	9.3	18023	20179	16109	背靠背，脸对脸	1994	中国大陆 / 香港	汉语普通话	141	69.2%,27.5%,3.0%,0.2%,0.1%	大陆,中国,中国电影,经典,政治,1994,剧情,黃建新	大陆,中国,中国电影,经典,政治,1994,剧情,黃建新	http://www.imdb.com/title/tt0109235
茶馆	剧情/历史	9.3	17935	22580	12516	茶馆	1982	中国大陆	北京话	118	71.6%,24.0%,4.0%,0.2%,0.1%	老舍,经典,话剧,中国,中国电影,老电影,大陆,谢添	老舍,经典,话剧,中国,中国电影,老电影,大陆,谢添	http://www.imdb.com/title/tt1395030
巴黎圣母院	剧情/爱情/音乐	9.3	3167	3781	3065	巴黎圣母院 Notre Dame de Paris	1999	法国	法语	150	71.1%,22.4%,5.8%,0.5%,0.2%	音乐剧,法国,经典,爱情,名著改编,音乐,法国电影,Musical	音乐剧,法国,经典,爱情,名著改编,音乐,法国电影,Musical	http://www.imdb.com/title/tt0285800
三傻大闹宝莱坞	剧情/喜剧/爱情/歌舞	9.2	755988	924471	57512	三傻大闹宝莱坞 3 Idiots	2009	印度	印地语 / 乌尔都语 / 英语	171	66.6%,26.1%,6.3%,0.7%,0.4%	励志,印度,喜剧,人生,搞笑,宝莱坞,经典,剧情	励志,印度,喜剧,人生,搞笑,宝莱坞,经典,剧情	http://www.imdb.com/title/tt1187043
千与千寻	剧情/动画/奇幻	9.2	749976	950480	58004	千与千寻 千と千尋の神隠し	2001	日本	日语	125	68.0%,26.8%,4.8%,0.2%,0.1%	日本,动画,动漫,经典,成长,温情,吉卜力,人性	日本,动画,动漫,经典,成长,温情,吉卜力,人性	http://www.imdb.com/title/tt0245429
泰坦尼克号	剧情/爱情/灾难	9.2	741251	969483	34790	泰坦尼克号 Titanic	1997	美国	英语 / 意大利语 / 德语 / 俄语	194	68.6%,25.6%,5.4%,0.3%,0.1%	爱情,经典,美国,灾难,浪漫,感动,奥斯卡,1997	爱情,经典,美国,灾难,浪漫,感动,奥斯卡,1997	http://www.imdb.com/title/tt0120338
海上钢琴师	剧情/音乐	9.2	650224	839768	114818	海上钢琴师 La leggenda del pianista sull'oceano	1998	意大利	英语 / 法语	165	66.5%,26.9%,5.8%,0.6%,0.2%	经典,海上钢琴师,音乐,人生,意大利,钢琴,剧情,意大利电影	经典,海上钢琴师,音乐,人生,意大利,钢琴,剧情,意大利电影	http://www.imdb.com/title/tt0120731
星际穿越	剧情/科幻/冒险	9.2	550424	617153	76184	星际穿越 Interstellar	2014	美国 / 英国 / 加拿大 / 冰岛	英语	169	66.2%,26.8%,6.1%,0.6%,0.3%	科幻,美国,太空,宇宙,人性,冒险,亲情,2014	科幻,美国,太空,宇宙,人性,冒险,亲情,2014	http://www.imdb.com/title/tt0816692
